
  1%|▉                                                                                                                                                    | 12/1850 [00:01<04:03,  7.56it/s]
{'loss': 1.2453, 'grad_norm': 4.264571666717529, 'learning_rate': 0.00029851250799632607, 'epoch': 0.22}
{'loss': 0.9985, 'grad_norm': 4.216378688812256, 'learning_rate': 0.0002984765100552638, 'epoch': 0.23}
{'loss': 0.7344, 'grad_norm': 3.4951581954956055, 'learning_rate': 0.00029844008394646894, 'epoch': 0.23}
{'loss': 1.3603, 'grad_norm': 4.850080490112305, 'learning_rate': 0.00029840322977498483, 'epoch': 0.23}
{'loss': 0.925, 'grad_norm': 3.684492826461792, 'learning_rate': 0.0002983659476470894, 'epoch': 0.24}
{'loss': 1.1444, 'grad_norm': 4.929471015930176, 'learning_rate': 0.0002983282376702947, 'epoch': 0.24}
{'loss': 0.7395, 'grad_norm': 3.6885952949523926, 'learning_rate': 0.00029829009995334637, 'epoch': 0.24}
{'loss': 0.9923, 'grad_norm': 3.6964285373687744, 'learning_rate': 0.0002982515346062238, 'epoch': 0.24}

  6%|█████████                                                                                                                                           | 113/1850 [00:14<03:13,  8.97it/s]
{'loss': 1.0287, 'grad_norm': 4.076484203338623, 'learning_rate': 0.00029817312146753855, 'epoch': 0.25}
{'loss': 0.9237, 'grad_norm': 3.840634346008301, 'learning_rate': 0.00029813327390209904, 'epoch': 0.25}
{'loss': 0.8316, 'grad_norm': 3.834287166595459, 'learning_rate': 0.00029809299915873087, 'epoch': 0.25}
{'loss': 1.1412, 'grad_norm': 4.424050807952881, 'learning_rate': 0.000298052297353576, 'epoch': 0.26}
{'loss': 0.8273, 'grad_norm': 3.819822311401367, 'learning_rate': 0.00029801116860400786, 'epoch': 0.26}
{'loss': 0.846, 'grad_norm': 3.5863280296325684, 'learning_rate': 0.0002979696130286311, 'epoch': 0.26}
{'loss': 0.7648, 'grad_norm': 3.556313991546631, 'learning_rate': 0.0002979276307472812, 'epoch': 0.26}
{'loss': 0.8723, 'grad_norm': 4.016985893249512, 'learning_rate': 0.0002978852218810242, 'epoch': 0.27}
{'loss': 1.0732, 'grad_norm': 3.999918222427368, 'learning_rate': 0.00029784238655215626, 'epoch': 0.27}
{'loss': 0.838, 'grad_norm': 4.565728187561035, 'learning_rate': 0.0002977991248842033, 'epoch': 0.27}
{'loss': 0.7947, 'grad_norm': 3.555384635925293, 'learning_rate': 0.00029775543700192084, 'epoch': 0.28}
{'loss': 1.0444, 'grad_norm': 3.9287190437316895, 'learning_rate': 0.00029771132303129327, 'epoch': 0.28}
{'loss': 0.854, 'grad_norm': 3.7956125736236572, 'learning_rate': 0.000297666783099534, 'epoch': 0.28}
{'loss': 0.5468, 'grad_norm': 3.166463613510132, 'learning_rate': 0.0002976218173350845, 'epoch': 0.28}
{'loss': 1.0313, 'grad_norm': 3.9741275310516357, 'learning_rate': 0.0002975764258676145, 'epoch': 0.29}
{'loss': 1.0329, 'grad_norm': 4.046367168426514, 'learning_rate': 0.000297530608828021, 'epoch': 0.29}
{'loss': 0.6159, 'grad_norm': 3.195732831954956, 'learning_rate': 0.0002974843663484287, 'epoch': 0.29}

